プラグイン名,配布元,種別,公開日,記事URL,サムネイルURL,概要,取得日時
DLAY Lite,FRCTL Audio,FREE,2026-07-02,https://bedroomproducersblog.com/2026/07/02/frctl-audio-dlay-lite/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/dlay-lite.jpg,"FRCTL Audio has released DLAY Lite, a free multi-tap delay plugin for macOS, Windows, and Linux. DLAY Lite is a simple delay with two main controls and 12 presets. You can pick a preset, adjust Mix an...",2026-07-03T04:37:12.738394+00:00
S1 De-Esser,Parish Audio,FREE,2026-07-02,https://bedroomproducersblog.com/2026/07/02/parish-audio-s1-de-esser/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/s1-deesser.jpg,"Parish Audio has released S1 De-Esser, a free VST3 plugin for macOS and Windows. S1 De-Esser is designed to smooth sharp S, SH, and T sounds without adding artifacts to your entire vocal track (read: ...",2026-07-03T04:37:12.738394+00:00
DelayU-42,MKS Mixing,FREE,2026-07-02,https://bedroomproducersblog.com/2026/07/02/mks-mixing-delayu-42/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/delau.jpg,"MKS Mixing has released DelayU-42, a free vintage-inspired delay plugin for macOS and Windows. DelayU-42 recreates the sound of classic 80s rack delays, focusing on grit, saturation, limiter behavior,...",2026-07-03T04:37:12.738394+00:00
COGG,Plasmatic,FREE,2026-07-02,https://bedroomproducersblog.com/2026/07/02/plasmatic-cogg/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/cogg.jpg,"COGG is a free industrial destruction FX plugin for macOS and Windows released by the developer Plasmatic. Plasmatic says COGG turns any sound into something industrial, and that’s a pretty fair descr...",2026-07-03T04:37:12.738394+00:00
Instant,TerminalVST,FREE,2026-07-01,https://bedroomproducersblog.com/2026/07/01/terminalvst-releases-instant-a-free-percussion-plugin-for-macos-and-windows/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/instant.jpg,"TerminalVST has released Instant, a free percussion plugin for macOS and Windows. Instant is basically a minimal step sequencer for drums. It lets you pick a category, such as clap, snare, closed hi-h...",2026-07-01T15:33:45.529734+00:00
Double Dare,Canvas Audio,FREE,2026-07-01,https://bedroomproducersblog.com/2026/07/01/canvas-audio-double-dare/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/double-dare.jpg,"Canvas Audio has released Double Dare, a free vocal doubler plugin for macOS and Windows. The freebie marks Canvas Audio’s first anniversary, and Double Dare is available as a free download until Sept...",2026-07-02T04:54:33.407501+00:00
GROOVE60 MIDI timing simulator,Push and Groove,FREE,2026-07-01,https://bedroomproducersblog.com/2026/07/01/groove60/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/groove60.jpg,"Push and Groove has released GROOVE60, a MIDI timing processor for macOS and Windows. Developer Takahiro Oishi describes GROOVE60 as a MIDI timing simulator inspired by classic drum machine and hardwa...",2026-07-02T04:54:33.407501+00:00
Audio Damage reboots the classic,,FREE,2026-07-01,https://bedroomproducersblog.com/2026/07/01/audio-damage-shinronin/,https://bedroomproducersblog.com/wp-content/uploads/2026/07/AudioDamage-ShinRonin.jpg,"Developer Audio Damage has rebooted an old classic with the free ShinRonin modular filter/delay plugin. Audio Damage is a name that has been around for a long time, and the Colorado-based developer sh...",2026-07-02T04:54:33.407501+00:00
"Morphoice announces EightyEight, a new Roland Jupiter-8 emul",,FREE,2026-06-30,https://bedroomproducersblog.com/2026/06/30/morphoice-eightyeight/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/Morphoice-EightyEight.jpg,"Developer Morphoice is back with another vintage synth emulation, a free public beta of the new Roland Jupiter-8 emulation. EightyEight. The developer has already tackled iconic synths like the Roland...",2026-07-01T05:17:14.370067+00:00
Waveform 14 Free: our best FREE DAW,Tracktion,FREE,2026-06-29,https://bedroomproducersblog.com/2026/06/29/waveform-free-14/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/Tracktion-WaveformFreev14.jpg,"Tracktion’s Waveform Free has been updated to v14, remaining our best free DAW for macOS, Windows, and Linux. We’ve covered Tracktion’s Waveform Free multiple times, and we like it. So much so that we...",2026-06-29T16:31:25.602801+00:00
FREE Vaults Vintage String Synth,The Crow Hill Company,FREE,2026-06-29,https://bedroomproducersblog.com/2026/06/29/crow-hill-vintage-string-synth/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/TheCrowHillCompany-VintageStringSynth.jpg,The Crow Hill Company has released its latest addition to the free Vaults collection – Vintage String Synth. The Crow Hill Company’s Vaults collection is an absolute treasure trove of incredible sound...,2026-06-29T16:31:25.602801+00:00
Luch,Moloko Instruments,FREE,2026-06-28,https://bedroomproducersblog.com/2026/06/28/moloko-instruments-luch/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/luch.jpg,"Moloko Instruments has released Luch, a free sample-based instrument for macOS and Windows. I absolutely love the organic sound here. Especially lately, when we are being bombarded with AI and vibe-co...",2026-06-29T05:25:44.824120+00:00
Binaural Modulator,Unusable Engineering,FREE,2026-06-28,https://bedroomproducersblog.com/2026/06/28/unusable-engineering-binaural-modulator/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/binaural-modulator.jpg,"Unusable Engineering has released Binaural Modulator, a free spatial modulation effect for macOS and Windows. Binaural Modulator is basically an auto-pan plugin on steroids. The thing that makes it pr...",2026-06-29T05:25:44.824120+00:00
WiseTracker,,FREE,2026-06-27,https://bedroomproducersblog.com/2026/06/27/wisetracker/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/wisetracker.jpg,"BPB reader Wiseman has released WiseTracker, a free public beta tracker that runs as both a Windows standalone app and a VST3 instrument plugin called WiseTrax. This one has an interesting backstory. ...",2026-06-27T14:21:12.972350+00:00
Magical FDS Plug,YMCK,FREE,2026-06-27,https://bedroomproducersblog.com/2026/06/27/ymck-magical-fds-plug/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/fds.jpg,"YMCK has released Magical FDS Plug, a free software synthesizer that emulates the sound of the FDS sound chip. This is an absolute blast from the past for me, because YMCK’s Magical 8bit Plug was one ...",2026-06-27T14:21:12.972350+00:00
CapySynth is now,,FREE,2026-06-27,https://bedroomproducersblog.com/2026/06/27/capysynth-is-now-free-forever/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/capysynth-update.jpg,CapybaraSoftware has made CapySynth permanently free after the response to last week’s BPB coverage. We first covered CapySynth last Saturday when it was free for 24 hours. The developer later emailed...,2026-06-28T05:13:06.266457+00:00
Fine Classics Saturator,,LIMITED,2026-06-26,https://bedroomproducersblog.com/2026/06/26/fine-classics-saturator-free-again/,https://bedroomproducersblog.com/wp-content/uploads/2025/11/fine-classics-saturator.jpg,"Fine Classics Plugins is offering Fine Classics Saturator as a free download again for a limited time. We featured Fine Classics Saturator on BPB last year when it was also available for free, so this...",2026-06-26T15:18:55.054644+00:00
Drumbo Jr,DAWJunkie,FREE,2026-06-26,https://bedroomproducersblog.com/2026/06/26/dawjunkie-drumbo-jr/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/DAWJunkie-DrumboJr.jpg,"Developer DAWJunkie has released Drumbo Jr, a free drum machine for macOS and Windows. Drumbo is something of a departure from the norm, as we typically see synth tributes (like the DT-600 Mini) and q...",2026-06-26T15:18:55.054644+00:00
Series 9000,Sketch Audio,FREE,2026-06-26,https://bedroomproducersblog.com/2026/06/26/sketch-audio-series-9000/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/position-9000.jpg,"Sketch Audio has released Series 9000, a free low-pass filter and distortion plugin for macOS, Windows, and iOS. Series 9000 features a sixth-order low-pass filter based on a late-1980s rackmount samp...",2026-06-26T15:18:55.054644+00:00
Dusty Tube 2,Dusty Plugins,FREE,2026-06-25,https://bedroomproducersblog.com/2026/06/25/dusty-tube-2/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/DustyPlugins-DustyTube2.jpg,"From developer Dusty Plugins comes Dusty Tube 2, a free guitar & bass amp sim for Windows. We covered the original Dusty Tube plugin in early 2025, and for anyone who missed it, it’s an amp simulator ...",2026-06-25T15:35:36.399315+00:00
"Safari Pedals gives away 10,000 Gorilla Drive licenses to BP",,FREE,2026-06-25,https://bedroomproducersblog.com/2026/06/25/safari-pedals-gorilla-drive-bpb/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/gorilla-drive.jpg,"Safari Pedals is giving away 10,000 free Gorilla Drive licenses exclusively to BPB readers. Gorilla Drive normally costs $39.99, but you can get it for free at checkout with the coupon code BPB-Gorill...",2026-06-25T15:35:36.399315+00:00
FREE 1073-style analog enhancer plugin,noshigeSound,FREE,2026-06-25,https://bedroomproducersblog.com/2026/06/25/enhancer-vintage-73/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/enhancer-vintage-73.jpg,"noshigeSound has released ENHANCER VINTAGE-73, a free one-knob high-shelf enhancer plugin for macOS and Windows. The plugin models the high-shelf section of a legendary British preamp EQ. noshigeSound...",2026-06-25T15:35:36.399315+00:00
EQ Pro,Jeesonic,FREE,2026-06-25,https://bedroomproducersblog.com/2026/06/25/jeesonic-eq-pro/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/jeesonic-eq-pro.jpg,"Jeesonic has released EQ Pro, a free dynamic equalizer plugin for macOS and Windows. EQ Pro is a surgical EQ with up to 24 dynamic bands, per-band stereo routing, selectable phase modes, and a real-ti...",2026-06-25T15:35:36.399315+00:00
Waved Studio,,FREE,2026-06-24,https://bedroomproducersblog.com/2026/06/24/waved-studio-wavetable-editor/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/wavedstudio.jpg,"Speight Audio has released Waved Studio, a free browser-native wavetable editor for producers and sound designers. I wasn’t expecting too much when the developer first sent this over (I’ve seen quite ...",2026-06-24T15:28:07.105123+00:00
Minimal Audio launches Current Expansion Player with EPROM M,,FREE,2026-06-24,https://bedroomproducersblog.com/2026/06/24/eprom-memory-rites/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/memory-rites.jpg,"Minimal Audio has released Memory Rites, a new instrument and Current preset expansion made in collaboration with EPROM. The release is interesting for two reasons. First, it gives you 60 custom-desig...",2026-06-24T15:28:07.105123+00:00
Apus,Audiolatry,FREE,2026-06-24,https://bedroomproducersblog.com/2026/06/24/audiolatry-apus/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/apus.jpg,"Audiolatry has released Apus, a free/pay-what-you-want lo-fi virtual instrument for macOS and Windows. I haven’t seen anything new from Audiolatry for a while, so I was happy to get an email about thi...",2026-06-24T15:28:07.105123+00:00
FREE Burning Stones desert amp plugin,Hell Yes Loop Lab,FREE,2026-06-24,https://bedroomproducersblog.com/2026/06/24/burning-stones-amp/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/burning-stones.jpg,"Hell Yes Loop Lab has released Burning Stones, a free/pay-what-you-want guitar amp plugin for macOS and Windows. Ricardo from Hell Yes Loop Lab sent this one over after we recently covered HYLL Pressu...",2026-06-24T15:28:07.105123+00:00
DNA Track Purifier,,FREE,2026-06-23,https://bedroomproducersblog.com/2026/06/23/dna-track-purifier/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/dna.jpg,"Mike Sorrentino has released DNA Track Purifier, a free Trackspacer-style sidechain dynamic processor designed to reduce frequency masking between competing tracks. Mike is a musician, composer, produ...",2026-06-23T15:42:20.850207+00:00
AV Pitchshifter,AngelicVibes,FREE,2026-06-23,https://bedroomproducersblog.com/2026/06/23/angelicvibes-pitchshifter/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/pitchshifter.jpg,"AngelicVibes has released AV Pitchshifter, a free pitch-shifting plugin for macOS and Windows. We’ve covered a few AngelicVibes freebies on BPB over the years, including Basshead Mini in 2025 and the ...",2026-06-23T15:42:20.850207+00:00
Orra Pump,Orra Audio,FREE,2026-06-23,https://bedroomproducersblog.com/2026/06/23/orra-audio-orra-pump/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/orra-pump.jpg,"Orra Audio has released Orra Pump, a free (pay-what-you-can) tempo-synced modulation filter for macOS and Windows. David from Orra Audio reached out to let me know about the new release, and I was ver...",2026-06-23T15:42:20.850207+00:00
Get the CapySynth synthwave synthesizer for,,FREE,2026-06-22,https://bedroomproducersblog.com/2026/06/22/capysynth-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/capysynth.jpg,"CapybaraSoftware is offering CapySynth as a free download for 24 hours, with roughly 12 hours left at the time of writing. Thanks to BPB community member N. Robin for sharing this in the BPB Community...",2026-06-22T06:23:43.579163+00:00
ANATOMY,OTODESK,FREE,2026-06-22,https://bedroomproducersblog.com/2026/06/22/otodesk-anatomy/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/anatomy.jpg,"OTODESK has released ANATOMY, a free and open-source VST3 plugin for Windows. This is the third free plugin from OTODESK we’ve covered on BPB in June, following Ambience and Quad Morph Filter. Both re...",2026-06-22T17:23:07.771046+00:00
TrapTune Core,United Plugins,FREE,2026-06-22,https://bedroomproducersblog.com/2026/06/22/united-plugins-traptune-core/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/traptune-core.jpg,"United Plugins has released TrapTune Core, a free automatic vocal tuning plugin by Soundevice Digital. TrapTune Core is part of the UnitedFree Bundle, which means you can run it for free through the U...",2026-06-22T17:23:07.771046+00:00
HoRNet DeeLay,,FREE,2026-06-22,https://bedroomproducersblog.com/2026/06/22/hornet-deelay-free-2026/,https://bedroomproducersblog.com/wp-content/uploads/2023/09/hornet-delay-730x349.jpeg,HoRNet Plugins is offering HoRNet DeeLay as a free download for 48 hours with the coupon code DLYFREE. Huge thanks to BPB readers Piti Acho and Javier Emanuel for sharing this one in the BPB Community...,2026-06-22T17:23:07.771046+00:00
Kobito ChordGenius,,LIMITED,2026-06-19,https://bedroomproducersblog.com/2026/06/19/kobito-chordgenius/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/Kobito-ChordGenius.jpg,"Developer Kobito has made its ChordGenius free for a limited time. We’ve covered a few MIDI Chord generators recently; we’ve had the Bloomer emotional chord engine by The Freequency, UChord by Ultimat...",2026-06-19T15:54:42.594579+00:00
"The NEMUS Project has released Bunkervik SpatialReverb, a",,FREE,2026-06-19,https://bedroomproducersblog.com/2026/06/19/the-nemus-project-bunkervik/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/NEMUSProject-BunkervikSpatialReverb.jpg,"Bunkervik Spatial Reverb is a free spatial reverb plugin for macOS and Windows, created in collaboration between The NEMUS Project, Missing Ear, and Physical Audio. We’ve seen plenty of plugins that o...",2026-06-19T15:54:42.594579+00:00
Genome Intro,Two Notes Audio Engineering,FREE,2026-06-19,https://bedroomproducersblog.com/2026/06/19/two-notes-audio-genome-intro/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/TwoNotes-GenomeIntro.jpg,"In tandem with the release of Genome 2.0, Two Notes Audio Engineering has launched a free entry-level version, Genome Intro. Genome Intro is available in AU, VST3, and AAX formats for macOS and Window...",2026-06-20T05:06:55.614724+00:00
FlowFilter FREE filter plugin,Stagecraft Software,FREE,2026-06-18,https://bedroomproducersblog.com/2026/06/18/stagecraft-flowfilter/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/flowfilter.jpg,"Stagecraft Software has released FlowFilter, a free filter plugin for macOS and Windows. The developer informed me that FlowFilter is a major update to AutoFilter, the company’s filterscape plugin, wh...",2026-06-18T16:20:33.294072+00:00
FREE Amp Squeezer overdrive plugin,Clack.DIGITAL,FREE,2026-06-18,https://bedroomproducersblog.com/2026/06/18/clack-digital-amp-squeezer/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/amp-squeezer.jpg,"Clack.DIGITAL has released Amp Squeezer, a free frequency-shaped overdrive plugin for Windows, macOS, and Linux. Amp Squeezer was originally developed for the Darkglass Anagram pedalboard and released...",2026-06-18T16:20:33.294072+00:00
Unshuffle FREE open-source sample library organizer,Calloga,FREE,2026-06-18,https://bedroomproducersblog.com/2026/06/18/calloga-unshuffle-sample-organizer/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/unshuffle.jpg,"Calloga has released Unshuffle, a free open-source sample library organizer for Windows, macOS, and Linux. Unshuffle is designed for producers with messy sample folders, which is probably most of us a...",2026-06-19T06:11:07.602112+00:00
Schematic Sound makes Aurora waveform visualizer plugin,,FREE,2026-06-17,https://bedroomproducersblog.com/2026/06/17/schematic-sound-aurora/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/aurora.jpg,"Schematic Sound has made Aurora, its DJ-style waveform visualizer plugin, open-source and available as a free pay-what-you-want download. Aurora is a VST3/AU plugin that brings the frequency-colored w...",2026-06-17T16:32:03.773728+00:00
Xenroll,Ankalot,FREE,2026-06-17,https://bedroomproducersblog.com/2026/06/17/ankalot-xenroll/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/Ankalot-Xenroll.jpg,"Developer Ankalot has released the 0.4.3 version of Xenroll, a free and open-source microtonal piano roll for macOS, Windows, and Linux. Xenroll is a free and open-source piano roll plugin that allows...",2026-06-17T16:32:03.773728+00:00
two FREE synthesizers and The Guilt Device degradation plugin,Piruz Labs,FREE,2026-06-17,https://bedroomproducersblog.com/2026/06/17/piruz-labs-guilt-device/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/synthimatic.jpg,"Piruz Labs has launched three new plugins: The Guilt Device, Thrilled Groove, and Synthimatic. The Guilt Device is a degradation engine that embraces the darker side of cinematic emotion, and it costs...",2026-06-17T16:32:03.773728+00:00
Vinland Drive FREE tape emulator plugin,Shadaloo Audio DSP,FREE,2026-06-16,https://bedroomproducersblog.com/2026/06/16/shadaloo-audio-dsp-releases-vinland-drive-free-tape-emulator-plugin/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/vinland-drive.jpg,"Shadaloo Audio DSP has released Vinland Drive, a free vintage tape emulator plugin for macOS and Windows. We recently covered Wide, Shadaloo Audio DSP’s free stereo and spatial enhancement plugin, and...",2026-06-16T17:52:02.774080+00:00
Justin Sheriff offers De-Space recording cleanup plugin,,FREE,2026-06-16,https://bedroomproducersblog.com/2026/06/16/justin-sheriff-de-space/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/despace.jpg,"Justin Sheriff is offering De-Space, his so-called “bedroom studio cleanup” plugin, as a free download for one week only. De-Space is listed as a pay-what-you-want product with a suggested $5 contribu...",2026-06-16T17:52:02.774080+00:00
W.A. Production offers the Vocal Splitter plugin for,,LIMITED,2026-06-16,https://bedroomproducersblog.com/2026/06/16/wa-production-vocal-splitter/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/vocalsplitter.jpg,"W.A. Production is offering Vocal Splitter as a free download with the coupon code GETWAVS. Vocal Splitter normally costs $29, but you can add it to your W.A. Production account for free by applying t...",2026-06-16T17:52:02.774080+00:00
The Double Wide FREE stereo width plugin,Buchert Audio,FREE,2026-06-15,https://bedroomproducersblog.com/2026/06/15/buchert-audio-double-wide/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/double-wide.jpg,"Buchert Audio has released The Double Wide, a free one-knob stereo width plugin for macOS. The Double Wide is a simple utility for narrowing or widening a stereo signal. It’s almost too easy, but also...",2026-06-15T17:59:03.196877+00:00
Get W.A. Production Mutant Delay,,LIMITED,2026-06-15,https://bedroomproducersblog.com/2026/06/15/wa-production-mutant-delay-free/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/mutant-delay.jpg,"Audio Plugin Deals is offering Mutant Delay by W.A. Production as a free download for a limited time. Mutant Delay usually costs $39, but you can currently add it to your Audio Plugin Deals account fo...",2026-06-15T17:59:03.196877+00:00
the Persistent Series (beta) plugins,Kage Production,FREE,2026-06-15,https://bedroomproducersblog.com/2026/06/15/kage-production-persistent-series/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/KageProduction-PersistentSeriesbeta.jpg,"The Persistent Series from developer Kage Production is a collection of seven free plugins (beta stage) available in VST3 format for Windows. Before I list the individual plugins, I want to expand on ...",2026-06-15T17:59:03.196877+00:00
Dagon FREE resonance control plugin,Mercurial Tones,FREE,2026-06-15,https://bedroomproducersblog.com/2026/06/15/mercurial-tones-dagon/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/dagon.jpg,"Mercurial Tones has released Dagon, a free resonance control plugin for macOS and Windows. Dagon sits in the same broad category as plugins like oeksound soothe2 and Baby Audio Smooth Operator. It bas...",2026-06-15T17:59:03.196877+00:00
Vaelyra Stryn,Uryan Modular,FREE,2026-06-12,https://bedroomproducersblog.com/2026/06/12/uryan-modular-vaelyra-stryn/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/UryanModular-VaelyraStryn.jpg,"Uryan Modula, a company specialising in hand-built Eurorack cases and enclosures, has released Vaelyra Stryn, a free resonant string/pluck synth for macOS, Windows, and Linux. The Hungarian modular ex...",2026-06-12T16:09:51.877730+00:00
FALA,Studio Kozak,FREE,2026-06-11,https://bedroomproducersblog.com/2026/06/11/studio-kozak-fala/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/fala.jpg,"Studio Kozak has released FALA, a free vintage-inspired BBD chorus plugin for macOS and Windows. This is another guitar stompbox-style plugin we have covered this week. The last one was GRIM3 Overdriv...",2026-06-11T16:43:03.068891+00:00
Vital vs Surge XT: How To Pick Your Free Synthesizer in 2026,,FREE,2026-06-10,https://bedroomproducersblog.com/2026/06/10/vital-vs-surge/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/vital-vs-surge.jpg,"Every few weeks, someone asks me some version of the same question. Should I learn Vital or Surge XT? It’s a tough question because these are the two best free synths you can download in 2026, and eit...",2026-06-10T16:29:09.200486+00:00
Genesis,ABYZOR Audio,FREE,2026-06-10,https://bedroomproducersblog.com/2026/06/10/abyzor-genesis-midi-generator/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/ABYZORAudio-Genesis.jpg,"Developer ABYZOR Audio has released Genesis, a Windows-only free MIDI generator plugin. MIDI generators are handy tools when you’re struggling to get out of a creative block or need to lay something d...",2026-06-10T16:29:09.200486+00:00
Volume Dealer,M Media Audio,FREE,2026-06-10,https://bedroomproducersblog.com/2026/06/10/m-media-audio-volume-dealer/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/MMediaAudio-VolumeDealer.jpg,"From developer M Media Audio comes Volume Dealer, a free mastering limiter with a full BS.1770 LUFS metering suite. Earlier this month, we covered Violet Crown from M Media Audio, a free channel strip...",2026-06-10T16:29:09.200486+00:00
GRIM3 FREE overdrive plugin,Aurora DSP,FREE,2026-06-10,https://bedroomproducersblog.com/2026/06/10/aurora-dsp-grim3/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/grim.jpg,"Aurora DSP has released GRIM3, a free overdrive plugin based on the feel of a guitar pedal. You can put GRIM3 before an amp or amp sim and use it to tighten the low end, add a bit of midrange overdriv...",2026-06-10T16:29:09.200486+00:00
Annulus,Jonas Eriksson,FREE,2026-06-09,https://bedroomproducersblog.com/2026/06/09/jonas-eriksson-annulus/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/JonasEriksson-Annulus.jpg,"Developer Jonas Eriksson has released Annulus, a free polyphonic resonator and effects engine for macOS and Windows. You should note that, while Annulus is available for free download, it has not yet ...",2026-06-09T15:49:23.404915+00:00
FREE Sibalance and VocRide vocal plugins,nClear,FREE,2026-06-08,https://bedroomproducersblog.com/2026/06/08/nclear-sibalance-vocride/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/vocride-sibalance.jpg,"nClear has released Sibalance and VocRide, two pay-what-you-want vocal processing plugins for macOS, Windows, and Linux. Both plugins are available through Ko-fi, and you can optionally enter zero to ...",2026-06-08T16:42:07.231681+00:00
FREE open-source Quad Morph Filter plugin,OTODESK,FREE,2026-06-08,https://bedroomproducersblog.com/2026/06/08/otodesk-quad-morph-filter/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/otto-filter.jpg,"OTODESK has released Quad Morph Filter, a free and open-source VST3 filter plugin for Windows. Quad Morph Filter is built for real-time sound design instead of the more static tone shaping we typicall...",2026-06-08T16:42:07.231681+00:00
FREE Xhannel S channel strip plugin,Xilentch,FREE,2026-06-06,https://bedroomproducersblog.com/2026/06/06/xilentch-xhannel-s/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/xhannel-strip.jpg,"Xilentch has released Xhannel S, a free channel strip plugin and the first dedicated mixing tool in the XM family. Until now, the XM Series has mostly focused on mastering tools. The first Xilentch pl...",2026-06-06T14:23:03.946670+00:00
FREE HYLL Pressure soft clipper plugin,Hell Yes Loop Lab,FREE,2026-06-06,https://bedroomproducersblog.com/2026/06/06/hyll-pressure/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/hyll-pressure.jpg,"Hell Yes Loop Lab has released HYLL Pressure, a free/pay-what-you-want soft clipper plugin for macOS and Windows. Does the world really need another soft clipper? Probably not. Definitely not, even. D...",2026-06-06T14:23:03.946670+00:00
FREE Violet Crown channel strip plugin,M Media Audio,FREE,2026-06-05,https://bedroomproducersblog.com/2026/06/05/violet-crown-channel-strip/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/violet-crown.jpg,"M Media Audio has released Violet Crown, a free stereo channel strip plugin for macOS, Windows, and Linux. This is the first freebie from M Media Audio, although the developer also has three paid plug...",2026-06-05T15:46:12.894155+00:00
Tesseract Echo,,FREE,2026-06-05,https://bedroomproducersblog.com/2026/06/05/tesseract-echo/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/tesseract-echo.jpg,"Trebless has released Tesseract Echo, a free multi-tap magnetic tape delay and FDN reverb for macOS, Windows, and Linux. I still miss the old arcDev ET-301 delay plugin, which is sadly discontinued. B...",2026-06-05T15:46:12.894155+00:00
HiPan,,FREE,2026-06-05,https://bedroomproducersblog.com/2026/06/05/eli-flo-hipan/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/hipan.jpg,"Eli & Flo has released HiPan, a free dual-band panning utility plugin for macOS and Windows. HiPan is a simple tool that lets you pan high and low frequencies independently instead of moving the entir...",2026-06-05T15:46:12.894155+00:00
2B Played Music QFX Color plugin,,FREE,2026-06-04,https://bedroomproducersblog.com/2026/06/04/2b-played-qfx-color/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/qfx-color.jpg,"2B Played Music is offering QFX Color as a free download until June 26th, 2026. QFX Color normally costs €19.99 and is currently listed at €14.99 during the developer’s June sale, but you can get it f...",2026-06-04T16:15:23.984793+00:00
Analog Obsession updates LOVEND bass enhancer plugin with re,,FREE,2026-06-04,https://bedroomproducersblog.com/2026/06/04/analog-obsession-lovend-update/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/lovend.jpg,"Analog Obsession has released an updated version of LOVEND, its free harmonic bass enhancer plugin for macOS and Windows. LOVEND is designed to add weight and focus to the low end. It gives you a cont...",2026-06-04T16:15:23.984793+00:00
Peggio Jr,DAWJunkie,FREE,2026-06-04,https://bedroomproducersblog.com/2026/06/04/dawjunkie-peggio-jr/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/DAWJunkie-PeggioJr.jpg,"Developer DAWJunkie has released Peggio Jr, a free arpeggiator synth for macOS and Windows. Whenever we speak about a new freebie from DAWJunkie, we rarely have to wait too long before the next one co...",2026-06-05T05:11:32.249981+00:00
UnderwaterFX,,FREE,2026-06-03,https://bedroomproducersblog.com/2026/06/03/underwaterfx-ypichev/,https://bedroomproducersblog.com/wp-content/uploads/2026/06/underwater.jpg,"Developer ypichev has released UnderwaterFX, a free and open-source creative multi-effect plugin for Windows. UnderwaterFX is built with C++ and the JUCE framework. And the idea behind it is pretty co...",2026-06-03T17:54:01.669577+00:00
